PlayerID,firstName,lastName,height,weight,position,goals_scored,shot_accuracy
6,Zachary,Sutton,188.1,95.6,SG,52,46.8
7,Hudson,Trotman,216.3,108.6,C,38,37.3
8,Nicholas,Grantham,198.9,100.1,SG,60,56.6
10,Nikola,Katz,214.1,108.8,PF,75,64.1
11,Daymon,Harris,208.3,103.8,PF,50,49.5
14,Wyatt,Gilmore,194.7,98.2,SG,48,48
15,Robert,Gregory,194.4,95.8,SF,36,44.4
17,Shannen,Nicholson,225,110.7,C,54,51.9
18,Logan,Thompson,190.8,95.8,PG,41,39
20,Dale,Zeutzius,209.6,104.2,PF,58,57.4
22,Christopher,Bartnik,203.6,101,SF,42,52.5
23,Jerricoe,Mcclelland,187.3,93.8,SG,40,38.8
24,Raymond,Taylor,190.8,94.9,PG,51,43.6
26,Tory,Fernelius,190.8,96.4,PG,34,32.1
27,Collin,Crisp,203.3,100,SF,38,44.7
29,Davion,Pollock,196.7,98.4,SG,40,37.4
31,Jamall,Turner,202.4,101,SF,35,38
32,Ryan,Bodendorfer,192.5,96.4,SG,45,48.4
33,Devaun,Cureton,190.8,95.3,PG,45,37.8
35,Raheim,Sandoval,220.5,110.6,C,43,43.9
36,Cole,Ramsey,208.2,105.5,PF,41,43.2
37,Tre,Jackson,204.8,103.8,PF,49,56.3
39,Logan,Pooser,190.8,96,PG,44,40.4
41,Brenden,Polk,214.9,109.1,PF,66,56.9
42,Joseph,Arko,190.8,95.7,PG,31,35.2
50,Anthony,Ferris,217.6,109.4,C,44,45.8
54,Devyn,Ambrozic,220.4,109.3,C,40,48.8
56,Joshua,Hamilton,216.3,108,C,51,45.5
57,Sean,Johnson,218.3,109.5,C,56,52.8
59,Robert,Bohannon-Pea,204.3,101,SF,55,51.4
66,Jose,Coyle,215.9,107.5,C,40,41.2
68,Charles,Nielsen,190.8,95.1,PG,44,45.4
69,Jordan,Mcneal,201.3,99.8,SF,38,36.5
72,Russell,Johnson,188.4,92.7,SG,49,45.8
73,Sirsedrick,Smith,190.8,95.1,PG,51,52
74,Dakota,Abbott,190.8,95.8,PG,39,37.5
75,Kevin,Lunsford,201.7,101,SF,44,46.8
79,Devante,Bordeaux,200,98.8,SF,39,39
82,Plamen,Flaherty,222.9,112.7,C,47,52.2
83,Kylan,Mcwilliams,197.5,97.7,SG,39,47.6
85,Isaac,Penny,211.8,106.7,PF,46,50.5
86,John,Eden,195.7,98.1,SF,53,54.1
90,Samuel,Owen,193.6,96.6,SG,53,49.5
92,Dominic,Staab,190.9,94.7,SG,54,51.9
94,Wyatt,Zelenko,199.1,99.4,SG,47,41.2
96,Kyle,Thorn,205.6,103.5,SF,57,56.4
97,Isaiah,Fofana,190.8,95.5,PG,38,40
99,William,Mcheard,211.1,104.5,PF,70,57.9
100,Sean,Larson,205.6,103.2,PF,59,56.2
103,Domenik,Martin,212.5,105.9,PF,56,52.8
106,Jesse,Laberteaux,210.3,105.6,PF,57,54.3
107,Osyrus,Sims,190.8,95.4,PG,42,35.3
108,Austin,Allen,215.5,108.4,PF,71,63.4
109,Trent,Smith,200.3,99.2,SF,40,46.5
113,Christopher,Rodrigues,196.2,96.9,SF,46,41.1
114,Jonathan,Ryan,200.6,99.1,SF,46,46.9
115,Obera,Robinson,224.7,110.9,C,45,53.6
119,Nathaniel,Benning,195.4,97.1,SG,46,51.1
120,Jack,Harvey,205.1,103.4,SF,55,49.1
121,Daniel,Simpson,190.8,94.1,PG,43,39.8
122,Taylon,Laisure,195,97.6,SF,42,44.7
126,Ryan,Allen,190.8,96.4,PG,36,39.1
129,Deandre,Stamps,194.9,98,SF,39,42.4
132,Blake,Liptrap,190.8,94,PG,32,34.4
134,Cade,Valentine,219.9,108.2,C,53,56.4
135,Terry,Moise,191.2,95.3,SG,44,47.3
136,Benjamin,Whitcomb,194.6,98.1,SG,41,41.8
138,Trevor,Kelley,210.8,106.8,PF,59,64.8
139,Shamel,Sneed,190.8,94.5,PG,48,42.9
140,Kyle,Knapp,206.9,104.1,SF,51,47.7
142,Joshua,Frenking,217.1,108.3,C,47,48.5
144,Brady,Stankiewicz,190.8,96.9,PG,42,43.3
146,Ethan,Vanhoutan,220.9,109.8,C,46,52.9
148,Matthew,Conroy,195.2,97.2,SG,52,49.5
149,Momodou Lamin,Little,205.1,103.4,PF,61,58.7
150,Austin,De Steiguer,207.6,104.1,PF,52,54.7
151,Kashaun,Adams,197.6,99.1,SF,40,43.5
152,Justin,Nuriyev,216,107.8,PF,46,56.8
